2.772591e-04	9.5898e-08
2.837304e-04	9.8135e-08
2.903527e-04	1.0042e-07
2.971296e-04	1.0277e-07
3.040646e-04	1.0516e-07
3.111616e-04	1.0762e-07
3.184242e-04	1.1013e-07
3.258562e-04	1.1269e-07
3.334618e-04	1.1532e-07
3.412449e-04	1.1801e-07
3.492096e-04	1.2076e-07
3.573602e-04	1.2358e-07
3.657011e-04	1.2646e-07
3.742366e-04	1.2942e-07
3.829714e-04	1.3244e-07
3.919100e-04	1.3553e-07
4.010573e-04	1.3869e-07
4.104181e-04	1.4192e-07
4.199973e-04	1.4524e-07
4.298001e-04	1.4862e-07
4.398317e-04	1.5209e-07
4.500975e-04	1.5564e-07
4.606029e-04	1.5927e-07
4.713535e-04	1.6299e-07
4.823549e-04	1.6679e-07
4.936132e-04	1.7069e-07
5.051342e-04	1.7467e-07
5.169242e-04	1.7874e-07
5.289893e-04	1.8292e-07
5.413360e-04	1.8718e-07
5.539709e-04	1.9155e-07
